dt,sunrise,sunset,moonrise,moonset,moon_phase,summary,temp,feels_like,pressure,humidity,dew_point,wind_speed,wind_deg,wind_gust,weather,clouds,pop,uvi,rain,City,Latitude,Longitude,snow,day,min,max,night,eve,morn,average_min_temp,average_max_temp,rain_fall,avg_clouds,City_ID
2025-02-05 12:00:00+00:00,1738740720,1738775537,1738750800,1738718100,0.25,There will be partly cloudy today,"{'day': 9.42, 'min': 6.51, 'max': 9.48, 'night': 6.51, 'eve': 7.56, 'morn': 7.51}","{'day': 8.44, 'night': 3.69, 'eve': 5.32, 'morn': 6.02}",1040,72,4.56,4.1,68,6.01,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",63,0.0,1.31,,St Malo,48.65,-2.03,,9.42,6.51,9.48,6.51,7.56,7.51,4.48,8.75,0.505,64.25,324
2025-02-06 12:00:00+00:00,1738827031,1738862036,1738839000,1738809600,0.29,"You can expect partly cloudy in the morning, with clearing in the afternoon","{'day': 7.55, 'min': 5.28, 'max': 8.18, 'night': 5.73, 'eve': 6.12, 'morn': 5.85}","{'day': 3.62, 'night': 0.73, 'eve': 1.15, 'morn': 2.29}",1039,71,2.46,9.68,49,13.37,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",43,0.0,0.96,,St Malo,48.65,-2.03,,7.55,5.28,8.18,5.73,6.12,5.85,4.48,8.75,0.505,64.25,324
2025-02-07 12:00:00+00:00,1738913340,1738948535,1738927800,1738900800,0.33,Expect a day of partly cloudy with rain,"{'day': 5.09, 'min': 4.08, 'max': 5.36, 'night': 4.2, 'eve': 4.49, 'morn': 4.39}","{'day': 0.28, 'night': -0.23, 'eve': -0.23, 'morn': -0.62}",1026,72,0.37,8.92,56,13.64,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",90,0.2,1.38,0.22,St Malo,48.65,-2.03,,5.09,4.08,5.36,4.2,4.49,4.39,4.48,8.75,0.505,64.25,324
2025-02-08 12:00:00+00:00,1738999648,1739035034,1739017440,1738991400,0.36,"You can expect partly cloudy in the morning, with rain in the afternoon","{'day': 5.81, 'min': 3.59, 'max': 6.87, 'night': 5.3, 'eve': 5.54, 'morn': 3.73}","{'day': 2.69, 'night': 1.18, 'eve': 1.72, 'morn': -0.84}",1027,72,1.1,6.3,65,8.37,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",97,0.84,2.0,1.08,St Malo,48.65,-2.03,,5.81,3.59,6.87,5.3,5.54,3.73,4.48,8.75,0.505,64.25,324
2025-02-09 12:00:00+00:00,1739085954,1739121533,1739107860,1739081160,0.4,Expect a day of partly cloudy with rain,"{'day': 8.29, 'min': 5.74, 'max': 9.68, 'night': 6, 'eve': 7.39, 'morn': 6.29}","{'day': 5.52, 'night': 1.75, 'eve': 3.28, 'morn': 4.39}",1036,77,4.37,8.0,57,11.49,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",100,0.4,2.0,0.48,St Malo,48.65,-2.03,,8.29,5.74,9.68,6.0,7.39,6.29,4.48,8.75,0.505,64.25,324
2025-02-10 12:00:00+00:00,1739172258,1739208032,1739198820,1739170020,0.43,There will be partly cloudy today,"{'day': 7.36, 'min': 3.93, 'max': 9.03, 'night': 5.42, 'eve': 6.91, 'morn': 3.93}","{'day': 4.42, 'night': 2.05, 'eve': 3.54, 'morn': -0.33}",1031,73,2.73,6.07,69,8.99,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",59,0.0,2.0,,St Malo,48.65,-2.03,,7.36,3.93,9.03,5.42,6.91,3.93,4.48,8.75,0.505,64.25,324
2025-02-03 12:00:00+00:00,1738567879,1738602114,1738575180,0,0.18,Expect a day of partly cloudy with clear spells,"{'day': 9.09, 'min': 0.56, 'max': 10.19, 'night': 3.57, 'eve': 8.16, 'morn': 0.56}","{'day': 7.29, 'night': 0.38, 'eve': 6.23, 'morn': -3.14}",1027,78,5.46,3.57,193,5.33,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",18,0.0,1.4,,Bayeux,49.28,-0.7,,9.09,0.56,10.19,3.57,8.16,0.56,2.92875,7.64625,0.326,51.25,90
2025-02-04 12:00:00+00:00,1738654191,1738688615,1738662600,1738626360,0.22,Expect a day of partly cloudy with rain,"{'day': 9.49, 'min': 1.34, 'max': 10.6, 'night': 8.62, 'eve': 7.18, 'morn': 1.39}","{'day': 6.47, 'night': 6.23, 'eve': 4.29, 'morn': -2.5}",1026,76,5.44,6.49,216,12.1,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",0,0.24,1.27,0.15,Bayeux,49.28,-0.7,,9.49,1.34,10.6,8.62,7.18,1.39,2.92875,7.64625,0.326,51.25,90
2025-02-05 12:00:00+00:00,1738740501,1738775117,1738750320,1738717920,0.25,Expect a day of partly cloudy with clear spells,"{'day': 9.42, 'min': 4.09, 'max': 9.56, 'night': 5.6, 'eve': 6.11, 'morn': 4.2}","{'day': 8.57, 'night': 3.4, 'eve': 4.33, 'morn': 2.27}",1040,72,4.61,3.3,280,6.97,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",54,0.09,1.26,,Bayeux,49.28,-0.7,,9.42,4.09,9.56,5.6,6.11,4.2,2.92875,7.64625,0.326,51.25,90
2025-02-06 12:00:00+00:00,1738826810,1738861618,1738838460,1738809420,0.29,Expect a day of partly cloudy with rain,"{'day': 7.17, 'min': 4.7, 'max': 7.3, 'night': 4.7, 'eve': 5.69, 'morn': 5.33}","{'day': 3.18, 'night': -0.51, 'eve': 0.75, 'morn': 1.73}",1040,75,3.02,9.07,55,13.35,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",49,0.2,1.09,0.2,Bayeux,49.28,-0.7,,7.17,4.7,7.3,4.7,5.69,5.33,2.92875,7.64625,0.326,51.25,90
2025-02-07 12:00:00+00:00,1738913117,1738948120,1738927200,1738900680,0.33,"You can expect partly cloudy with rain in the morning, with partly cloudy with snow in the afternoon","{'day': 4.46, 'min': 3.32, 'max': 4.46, 'night': 3.32, 'eve': 3.36, 'morn': 3.38}","{'day': -0.3, 'night': -1.4, 'eve': -1.28, 'morn': -2.01}",1027,74,0.27,8.32,61,13.06,"[{'id': 616, 'main': 'Snow', 'description': 'rain and snow', 'icon': '13d'}]",70,0.2,1.27,0.2,Bayeux,49.28,-0.7,0.14,4.46,3.32,4.46,3.32,3.36,3.38,2.92875,7.64625,0.326,51.25,90
2025-02-08 12:00:00+00:00,1738999422,1739034621,1739016840,1738991340,0.36,"You can expect partly cloudy in the morning, with rain in the afternoon","{'day': 4.92, 'min': 2.19, 'max': 5.2, 'night': 5.2, 'eve': 4.88, 'morn': 2.19}","{'day': 1.28, 'night': 1.6, 'eve': 1.5, 'morn': -1.23}",1028,79,1.49,5.05,80,7.67,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",100,0.51,2.0,0.27,Bayeux,49.28,-0.7,,4.92,2.19,5.2,5.2,4.88,2.19,2.92875,7.64625,0.326,51.25,90
2025-02-09 12:00:00+00:00,1739085726,1739121123,1739107260,1739081040,0.4,Expect a day of partly cloudy with rain,"{'day': 7.71, 'min': 5.21, 'max': 7.71, 'night': 5.32, 'eve': 5.61, 'morn': 5.59}","{'day': 4.39, 'night': 1.05, 'eve': 1.02, 'morn': 2.49}",1037,82,4.91,7.83,62,10.96,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",100,0.77,2.0,0.81,Bayeux,49.28,-0.7,,7.71,5.21,7.71,5.32,5.61,5.59,2.92875,7.64625,0.326,51.25,90
2025-02-10 12:00:00+00:00,1739172028,1739207624,1739198280,1739169900,0.43,"You can expect partly cloudy in the morning, with clearing in the afternoon","{'day': 5.92, 'min': 2.02, 'max': 6.15, 'night': 2.55, 'eve': 3.61, 'morn': 2.02}","{'day': 2.31, 'night': -0.7, 'eve': 0.19, 'morn': -2.22}",1032,77,2.16,5.45,79,9.16,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",19,0.0,2.0,,Bayeux,49.28,-0.7,,5.92,2.02,6.15,2.55,3.61,2.02,2.92875,7.64625,0.326,51.25,90
2025-02-03 12:00:00+00:00,1738567720,1738601884,1738574940,0,0.18,"You can expect clear sky in the morning, with partly cloudy in the afternoon","{'day': 6.81, 'min': 4.32, 'max': 8.53, 'night': 6.49, 'eve': 8.29, 'morn': 4.32}","{'day': 4.47, 'night': 3.38, 'eve': 6.19, 'morn': 1.35}",1027,73,2.32,4.61,173,5.72,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",4,0.0,1.38,,Le Havre,49.49,0.11,,6.81,4.32,8.53,6.49,8.29,4.32,4.32125,7.7025,0.7225,48.25,244
2025-02-04 12:00:00+00:00,1738654032,1738688386,1738662360,1738626180,0.22,Expect a day of partly cloudy with rain,"{'day': 7.97, 'min': 4.71, 'max': 9.57, 'night': 8.78, 'eve': 8.54, 'morn': 4.79}","{'day': 4.54, 'night': 5.86, 'eve': 5.54, 'morn': 0.91}",1026,74,3.63,6.5,192,12.25,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",0,0.2,1.29,0.13,Le Havre,49.49,0.11,,7.97,4.71,9.57,8.78,8.54,4.79,4.32125,7.7025,0.7225,48.25,244
2025-02-05 12:00:00+00:00,1738740341,1738774888,1738750080,1738717740,0.25,Expect a day of partly cloudy with rain,"{'day': 9.05, 'min': 6.91, 'max': 9.14, 'night': 6.91, 'eve': 7.88, 'morn': 8.06}","{'day': 7.89, 'night': 4.77, 'eve': 6.06, 'morn': 6.33}",1040,73,4.3,4.51,310,6.96,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",41,0.2,1.28,0.12,Le Havre,49.49,0.11,,9.05,6.91,9.14,6.91,7.88,8.06,4.32125,7.7025,0.7225,48.25,244
2025-02-06 12:00:00+00:00,1738826649,1738861390,1738838220,1738809300,0.29,"You can expect partly cloudy in the morning, with clearing in the afternoon","{'day': 7.63, 'min': 5.1, 'max': 8.01, 'night': 5.1, 'eve': 6.37, 'morn': 5.93}","{'day': 3.87, 'night': -0.07, 'eve': 1.74, 'morn': 2.04}",1040,68,1.95,9.25,56,13.29,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",77,0.0,1.08,,Le Havre,49.49,0.11,,7.63,5.1,8.01,5.1,6.37,5.93,4.32125,7.7025,0.7225,48.25,244
